Name,Output,LengthOfName,NameStartingWithVowel,NameEndingWithVowel,NumberOfVowelsInName,StartingCharacterIsAtEven,StartingCharacterIsAtOdd
Amira,-,5,,,,,
Kawkab,+,6,,,,,
Faheem,+,6,,,,,
Faisal,+,6,,,,,
Adam,-,4,,,,,
Omar,-,4,,,,,
Layla,+,5,,,,,
Dawud,+,5,,,,,
Bashir,+,6,,,,,
Afeefah,-,7,,,,,
Asim,-,4,,,,,
Ismail,-,6,,,,,
Hussein,+,7,,,,,
Bushra,+,6,,,,,
Nida,+,4,,,,,
Iman,-,4,,,,,
Hala,+,4,,,,,
Naeema,+,,,,,,
Fareed,+,,,,,,
Shakir,-,,,,,,
Ghaliya,-,,,,,,
BadrUddin,+,,,,,,
Aneesa,-,,,,,,
Sharifa,-,,,,,,
Aakifa,+,,,,,,
Ubaid,-,,,,,,
Husna,+,,,,,,
Arif,-,,,,,,
Safa,+,,,,,,
Faris,+,,,,,,
Aamir,+,,,,,,
Farida,+,,,,,,
Shahid,-,,,,,,
Huda,+,,,,,,
Mujtaba,+,,,,,,
Eisa,+,,,,,,
Nadia,+,,,,,,
Afra,-,,,,,,
Sharif,-,,,,,,
Aziza,-,,,,,,
Umair,-,,,,,,
Ahmad,-,,,,,,
Irfan,-,,,,,,
Shuaib,-,,,,,,
Amal,-,,,,,,
Murad,+,,,,,,
Furqan,+,,,,,,
Abida,-,,,,,,
Muneeb,+,,,,,,
Khadijah,-,,,,,,
Abeer,-,,,,,,
Areej,-,,,,,,
Habib,+,,,,,,
Urwa,-,,,,,,
Aida,+,,,,,,
Afia,-,,,,,,
Adeeb,-,,,,,,
Noor,+,,,,,,
Iffat,-,,,,,,
Nafisa,+,,,,,,
Farhan,+,,,,,,
Aatika,+,,,,,,
Burhan,+,,,,,,
Maleeha,+,,,,,,
Munira,+,,,,,,
Zeenat,+,,,,,,
Maymouna,+,,,,,,
Saadiya,+,,,,,,
Inaya,-,,,,,,
Firdous,+,,,,,,
Khalida,-,,,,,,
Luqman,+,,,,,,
Almas,-,,,,,,
Qamar,+,,,,,,
Abeer,-,,,,,,
Uqbah,-,,,,,,
Falak,+,,,,,,
AbdulAlim,-,,,,,,
Arshad,-,,,,,,
Azra,-,,,,,,
Amjad,-,,,,,,
Khawlah,-,,,,,,
Akram,-,,,,,,
Hadiyya,+,,,,,,
Asiyah,-,,,,,,
Hashim,+,,,,,,
Jamila,+,,,,,,
Ajmal,-,,,,,,
Anas,-,,,,,,
Adeela,-,,,,,,
Aqeel,-,,,,,,
Raniya,+,,,,,,
Munir,+,,,,,,
Maha,+,,,,,,
Imran,-,,,,,,
Asma,-,,,,,,
Hamza,+,,,,,,
Bilal,+,,,,,,
Anees,-,,,,,,
Amina,-,,,,,,
